"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"3218";"Аммония нитрат (селитра аммиачная), высококонцентрированный водный раствор";"510";"групповая";"8";"нет";"READY";""
"3218";"НИТРАТОВ НЕОРГАНИЧЕСКИХ ВОДНЫЙ РАСТВОР, Н.У.К.";"510";"групповая";"8";"нет";"READY";""
"3218";"Селитра аммиачно-кальциевая";"510";"групповая";"8";"нет";"READY";""
"3219";"НИТРИТОВ НЕОРГАНИЧЕСКИХ ВОДНЫЙ РАСТВОР, Н.У.К.";"510";"групповая";"8";"нет";"READY";""
"3220";"ПЕНТАФТОРЭТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 125)";"201";"групповая";"45";"нет";"READY";""
"3221";"ЖИДКОСТЬ САМОРЕАКТИВНАЯ ТИПА B";"424";"групповая";"10";"нет";"READY";""
"3222";"ВЕЩЕСТВО ТВЕРДОЕ САМОРЕАКТИВНОЕ ТИПА B";"415";"групповая";"14";"нет";"READY";""
"3223";"ЖИДКОСТЬ САМОРЕАКТИВНАЯ ТИПА C";"424";"групповая";"10";"нет";"READY";""
"3224";"2,2'-Азоди(изобутиронитрил) в виде пасты на основе воды, с концентрацией не более 50%";"415";"групповая";"14";"нет";"READY";""
"3224";"ВЕЩЕСТВО ТВЕРДОЕ САМОРЕАКТИВНОЕ ТИПА C";"415";"групповая";"14";"нет";"READY";""
"3224";"Диазодиметиланилин";"415";"групповая";"14";"нет";"READY";""
"3224";"Диазодиэтиланилин";"415";"групповая";"14";"нет";"READY";""
"3224";"Порофор ЧХЗ-5";"415";"групповая";"14";"нет";"READY";""
"3225";"ЖИДКОСТЬ САМОРЕАКТИВНАЯ ТИПА D";"424";"групповая";"10";"нет";"READY";""
"3226";"ВЕЩЕСТВО ТВЕРДОЕ САМОРЕАКТИВНОЕ ТИПА D";"415";"групповая";"14";"нет";"READY";""
"3227";"ЖИДКОСТЬ САМОРЕАКТИВНАЯ ТИПА E";"424";"групповая";"10";"нет";"READY";""
"3228";"ВЕЩЕСТВО ТВЕРДОЕ САМОРЕАКТИВНОЕ ТИПА E";"415";"групповая";"14";"нет";"READY";""
"3229";"ЖИДКОСТЬ САМОРЕАКТИВНАЯ ТИПА F";"424";"групповая";"10";"нет";"READY";""
"3230";"ВЕЩЕСТВО ТВЕРДОЕ САМОРЕАКТИВНОЕ ТИПА F";"415";"групповая";"14";"нет";"READY";""
"3241";"2-Бром-2-нитропропандиол-1,3";"404";"групповая";"52";"нет";"READY";""
"3242";"Азодикарбонамид";"404";"групповая";"52";"нет";"READY";""
"3243";"ВЕЩЕСТВА ТВЕРДЫЕ, СОДЕРЖАЩИЕ ЯДОВИТУЮ ЖИДКОСТЬ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3244";"ВЕЩЕСТВА ТВЕРДЫЕ, СОДЕРЖАЩИЕ КОРРОЗИОННУЮ ЖИДКОСТЬ, Н.У.К.";"822";"групповая";"3";"нет";"READY";""
"3244";"Заряды к огнетушителям ОХП-10 (кислотная часть)";"822";"групповая";"3";"нет";"READY";""
"3245";"МИКРООРГАНИЗМЫ ГЕНЕТИЧЕСКИ ИЗМЕНЕННЫЕ или ОРГАНИЗМЫ ГЕНЕТИЧЕСКИ ИЗМЕНЕННЫЕ";"906";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties"
"3245";"МИКРООРГАНИЗМЫ ГЕНЕТИЧЕСКИ ИЗМЕНЕННЫЕ или ОРГАНИЗМЫ ГЕНЕТИЧЕСКИ ИЗМЕНЕННЫЕ, в охлажденном жидком азоте";"906";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties"
"3246";"Метансульфонилхлорид";"624";"групповая";"4";"нет";"READY";""
"3247";"НАТРИЯ ПЕРОКСОБОРАТ БЕЗВОДНЫЙ";"501";"групповая";"76";"нет";"READY";""
"3248";"ПРЕПАРАТ ЛЕКАРСТВЕННЫЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ, Н.У.К.";"328";"групповая";"19";"нет";"READY";""
"3249";"ПРЕПАРАТ ЛЕКАРСТВЕННЫЙ ТВЕРДЫЙ, ЯДОВИТЫЙ, Н.У.К.";"620";"групповая";"18";"нет";"READY";""
"3250";"Кислота хлоруксусная расплавленная *";"611";"групповая";"19";"нет";"READY";""
"3251";"Изосорбид-5-мононитрат";"404";"групповая";"52";"нет";"READY";""
"3252";"ДИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 32) *";"205";"групповая";"14";"нет";"READY";""
"3253";"НАТРИЯ ТРИОКСОСИЛИКАТ";"808";"групповая";"13";"нет";"READY";""
"3254";"Трибутилфосфан";"405";"групповая";"36";"нет";"READY";""
"3256";"ЖИДКОСТЬ ПРИ ВЫСОКОЙ ТЕМПЕРАТУРЕ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К., с температурой вспышки более 60 °C, перевозимая при температуре не ниже ее температуры вспышки и не ниже 100 °C";"334";"индивидуальная";"1";"нет";"READY";""
"3256";"ЖИДКОСТЬ ПРИ ВЫСОКОЙ ТЕМПЕРАТУРЕ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К., с температурой вспышки более 60 °C, перевозимая при температуре не ниже ее температуры вспышки и ниже 100 °C";"334";"индивидуальная";"1";"нет";"READY";""
"3257";"ЖИДКОСТЬ ПРИ ВЫСОКОЙ ТЕМПЕРАТУРЕ, Н.У.К., перевозимая при температуре не ниже 100 °C, но ниже ее температуры вспышки (включая расплавленные металлы, расплавленные соли и т.д.)";"908";"групповая";"2";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties | В официальной АК отсутствует раздел: fireExplosionHazard | В официальной АК отсутствует раздел: humanHazard"
"3257";"Пек каменноугольный электродный";"908";"групповая";"2";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties | В официальной АК отсутствует раздел: fireExplosionHazard | В официальной АК отсутствует раздел: humanHazard"
"3258";"ВЕЩЕСТВО ТВЕРДОЕ ПРИ ВЫСОКОЙ ТЕМПЕРАТУРЕ, Н.У.К., при температуре не ниже 240 °C";"908";"групповая";"2";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties | В официальной АК отсутствует раздел: fireExplosionHazard | В официальной АК отсутствует раздел: humanHazard"
"3259";"АМИНЫ ТВЕРДЫЕ КОРРОЗИОННЫЕ, Н.У.К., или ПОЛИАМИНЫ ТВЕРДЫЕ КОРРОЗИОННЫЕ, Н.У.К.";"820";"индивидуальная";"1";"нет";"READY";""
"3259";"Амины C17 - C20, первичные";"820";"индивидуальная";"1";"нет";"READY";""
"3260";"ВЕЩЕСТВО ТВЕРДОЕ КОРРОЗИОННОЕ КИСЛОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.";"815";"групповая";"2";"нет";"READY";""
"3260";"Марганца фосфат";"815";"групповая";"2";"нет";"READY";""
"3260";"Олова (II) хлорид";"815";"групповая";"2";"нет";"READY";""
"3261";"ВЕЩЕСТВО ТВЕРДОЕ КОРРОЗИОННОЕ КИСЛОЕ ОРГАНИЧЕСКОЕ, Н.У.К.";"803";"групповая";"53";"нет";"READY";""
"3261";"Кислота нитрилотриметилфосфоновая *, ##";"803";"групповая";"53";"нет";"READY";""
"3262";"ВЕЩЕСТВО ТВЕРДОЕ КОРРОЗИОННОЕ ЩЕЛОЧНОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.";"819";"групповая";"3";"нет";"READY";""
"3262";"Электролит щелочной твердый";"819";"групповая";"3";"нет";"READY";""
"3263";"ВЕЩЕСТВО ТВЕРДОЕ КОРРОЗИОННОЕ ЩЕЛОЧНОЕ ОРГАНИЧЕСКОЕ, Н.У.К.";"819";"групповая";"3";"нет";"READY";""
"3264";"Алюминия оксисульфат, раствор (коагулянт жидкий)";"816";"групповая";"4";"нет";"READY";""
"3264";"Алюминия оксихлорид, коагулянт";"816";"групповая";"4";"нет";"READY";""
"3264";"Алюминия сульфат, раствор";"816";"групповая";"4";"нет";"READY";""
"3264";"Аммония фосфат, жидкий";"816";"групповая";"4";"нет";"READY";""
"3264";"Германия (IV) хлорид";"816";"групповая";"4";"нет";"READY";""
"3264";"Гидроксиламина сульфат, 25% водный раствор, коррозионный";"816";"групповая";"4";"нет";"READY";""
"3264";"ЖИДКОСТЬ КОРРОЗИОННАЯ КИСЛАЯ НЕОРГАНИЧЕСКАЯ, Н.У.К.";"816";"групповая";"4";"нет";"READY";""
"3264";"Кальция нитрат, водный раствор";"816";"групповая";"4";"нет";"READY";""
"3264";"Кислота фосфористая, водный раствор";"816";"групповая";"4";"нет";"READY";""
"3264";"Композиция ГЛИМС";"816";"групповая";"4";"нет";"READY";""
"3264";"Композиция ГПР (грунт - преобразователь ржавчины)";"816";"групповая";"4";"нет";"READY";""
"3264";"Композиция ДПФ-1 ингибированная";"816";"групповая";"4";"нет";"READY";""
"3264";"Концентраты фосфатирующие КМП-1, СК-1, КФЭ-1, КФ-1, СК-1К, КФЭ-2";"816";"групповая";"4";"нет";"READY";""
"3264";"Меди (II) хлорид, водный раствор, коррозионный";"816";"групповая";"4";"нет";"READY";""
"3264";"Фосфанол";"816";"групповая";"4";"нет";"READY";""
"3265";"Аллил-1,4-бутандиовой кислоты ангидрид";"803";"групповая";"53";"нет";"READY";""
"3265";"Ангидрид трифторметансульфокислоты **, #";"803";"групповая";"53";"нет";"READY";""
"3265";"Бутилфосфат ##";"803";"групповая";"53";"нет";"READY";""
"3265";"Дикарбоновых кислот водный слой";"803";"групповая";"53";"нет";"READY";""
"3265";"ЖИДКОСТЬ КОРРОЗИОННАЯ КИСЛАЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"803";"групповая";"53";"нет";"READY";""
"3265";"Кислота валериановая";"803";"групповая";"53";"нет";"READY";""
"3265";"Кислота дитиогликолевая #";"803";"групповая";"53";"нет";"READY";""
"3265";"Кислота изовалериановая";"803";"групповая";"53";"нет";"READY";""
"3265";"Кислота метоксиуксусная";"803";"групповая";"53";"нет";"READY";""
"3265";"Кислота пеларгоновая";"803";"групповая";"53";"нет";"READY";""
"3265";"Кислота пировиноградная";"803";"групповая";"53";"нет";"READY";""
"3265";"Кислоты дихлоркарбоновые **";"803";"групповая";"53";"нет";"READY";""
"3265";"Кислоты разветвленные монокарбоновые **";"803";"групповая";"53";"нет";"READY";""
"3265";"Концентрат низкомолекулярных кислот НМК";"803";"групповая";"53";"нет";"READY";""
"3265";"Метилбензосульфат #";"803";"групповая";"53";"нет";"READY";""
"3265";"Трифторметансульфокислота **, #";"803";"групповая";"53";"нет";"READY";""
"3266";"ЖИДКОСТЬ КОРРОЗИОННАЯ ЩЕЛОЧНАЯ НЕОРГАНИЧЕСКАЯ, Н.У.К.";"818";"групповая";"3";"нет";"READY";""
"3266";"Натрия гидросульфид, водный раствор";"818";"групповая";"3";"нет";"READY";""
"3266";"Натрия сульфид, водный раствор";"818";"групповая";"3";"нет";"READY";""
"3267";"2,2'-(Бутиламино)-диэтанол";"818";"групповая";"3";"нет";"READY";""
"3267";"ЖИДКОСТЬ КОРРОЗИОННАЯ ЩЕЛОЧНАЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"818";"групповая";"3";"нет";"READY";""
"3267";"Проскан";"819";"групповая";"3";"нет";"READY";""
"3268";"УСТРОЙСТВА ГАЗОНАПОЛНИТЕЛЬНЫЕ НАДУВНЫХ ПОДУШЕК или МОДУЛИ НАДУВНЫХ ПОДУШЕК или УСТРОЙСТВА ПРЕДВАРИТЕЛЬНОГО НАТЯЖЕНИЯ РЕМНЕЙ БЕЗОПАСНОСТИ";"907";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties"
"3269";"СМОЛ ПОЛИЭФИРНЫХ КОМПЛЕКТ (вязкая), жидкое основное вещество";"328";"групповая";"19";"нет";"READY";""
"3269";"СМОЛ ПОЛИЭФИРНЫХ КОМПЛЕКТ (невязкая), жидкое основное вещество";"328";"групповая";"19";"нет";"READY";""
"3269";"СМОЛ ПОЛИЭФИРНЫХ КОМПЛЕКТ, жидкое основное вещество";"328";"групповая";"19";"нет";"READY";""
"3270";"ФИЛЬТРЫ НИТРОЦЕЛЛЮЛОЗНЫЕ МЕМБРАННЫЕ, содержащие не более 12,6% азота по массе сухого вещества";"402";"групповая";"19";"нет";"READY";""
"3271";"Эфиры, н.у.к.";"331";"групповая";"6";"нет";"READY";""
"3272";"1-Метокси-2-пропил-ацетат";"306";"групповая";"53";"нет";"READY";""
"3272";"Амилпропионат";"306";"групповая";"53";"нет";"READY";""
"3272";"Винилпропионат, стабилизированный";"306";"групповая";"53";"нет";"READY";""
"3272";"Изобутилизовалерат";"306";"групповая";"53";"нет";"READY";""
"3272";"Метилацетоацетат";"306";"групповая";"53";"нет";"READY";""
"3272";"Метилвалерат";"306";"групповая";"53";"нет";"READY";""
"3272";"Метиллактат";"306";"групповая";"53";"нет";"READY";""
"3272";"н-Бутилбутират";"306";"групповая";"53";"нет";"READY";""
"3272";"трет-Бутилакрилат, стабилизированный";"306";"групповая";"53";"нет";"READY";""
"3272";"Триметил-орто-формиат";"306";"групповая";"53";"нет";"READY";""
"3272";"Эгилвалерат";"306";"групповая";"53";"нет";"READY";""
"3272";"Эфиры метиловые синтетических жирных кислот фракции C7 - C9";"306";"групповая";"53";"нет";"READY";""
"3272";"Эфиры сложные, н.у.к.";"306";"групповая";"53";"нет";"READY";""
"3273";"Нитрилы легковоспламеняющиеся ЯДОВИТЫЕ, н.у.к.";"333";"групповая";"2";"нет";"READY";""
"3274";"АЛКОГОЛЯТОВ РАСТВОР, Н.У.К., в спирте";"328";"групповая";"19";"нет";"READY";""
"3275";"НИТРИЛЫ ЯДОВИТЫЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К.";"649";"групповая";"2";"нет";"READY";""
"3276";"НИТРИЛЫ ЖИДКИЕ, ЯДОВИТЫЕ, Н.У.К.";"632";"групповая";"3";"нет";"READY";""
"3277";"ХЛОРФОРМИАТЫ ЯДОВИТЫЕ КОРРОЗИОННЫЕ, Н.У.К.";"640";"групповая";"11";"нет";"READY";""
"3278";"СОЕДИНЕНИЕ ФОСФОРОРГАНИЧЕСКОЕ ЖИДКОЕ ЯДОВИТОЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3279";"СОЕДИНЕНИЕ ФОСФОРОРГАНИЧЕСКОЕ ЯДОВИТОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.";"644";"групповая";"2";"нет";"READY";""
"3280";"СОЕДИНЕНИЕ МЫШЬЯКОРГАНИЧЕСКОЕ, ЖИДКОЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3281";"КАРБОНИЛЫ МЕТАЛЛОВ, ЖИДКИЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3282";"СОЕДИНЕНИЕ МЕТАЛЛООРГАНИЧЕСКОЕ ЖИДКОЕ ЯДОВИТОЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3283";"СЕЛЕНА СОЕДИНЕНИЕ, ТВЕРДОЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3284";"ТЕЛЛУРА СОЕДИНЕНИЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3285";"Ванадиевые соединения для сернокислотного каталитического производства";"630";"групповая";"36";"нет";"READY";""
"3285";"ВАНАДИЯ СОЕДИНЕНИЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3286";"Гептил";"328";"групповая";"19";"нет";"READY";""
"3286";"ЖИДКОСТЬ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ЯДОВИТАЯ КОРРОЗИОННАЯ, Н.У.К.";"328";"групповая";"19";"нет";"READY";""
"3286";"Ингибиторы коррозии ""Дизгафен-1"", ""Донбасс-1"", ""Донбасс-2""";"328";"групповая";"19";"нет";"READY";""
"3286";"Люминал А";"328";"групповая";"19";"нет";"READY";""
"3287";"Бария хлорид, раствор";"630";"групповая";"36";"нет";"READY";""
"3287";"ЖИДКОСТЬ ЯДОВИТАЯ НЕОРГАНИЧЕСКАЯ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3287";"Натрия нитрат, водный раствор с концентрацией 40% (по массе)";"630";"групповая";"36";"нет";"READY";""
"3287";"Натрия нитрит, водный раствор, с концентрацией 40% (по массе)";"906";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties"
"3288";"ВЕЩЕСТВО ТВЕРДОЕ ЯДОВИТОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"3288";"Натрия дихромат";"630";"групповая";"36";"нет";"READY";""
"3288";"Натрия хромат";"630";"групповая";"36";"нет";"READY";""
"3289";"ЖИДКОСТЬ ЯДОВИТАЯ КОРРОЗИОННАЯ НЕОРГАНИЧЕСКАЯ, Н.У.К.";"640";"групповая";"11";"нет";"READY";""
"3290";"ВЕЩЕСТВО ТВЕРДОЕ ЯДОВИТОЕ КОРРОЗИОННОЕ НЕОРГАНИЧЕСКОЕ, Н.У.К.";"640";"групповая";"11";"нет";"READY";""
"3290";"Шламы сернокислотного производства";"640";"групповая";"11";"нет";"READY";""
"3291";"ОТХОДЫ БОЛЬНИЧНОГО ПРОИСХОЖДЕНИЯ, РАЗНЫЕ, Н.У.К., или (БИО)МЕДИЦИНСКИЕ ОТХОДЫ, Н.У.К., или МЕДИЦИНСКИЕ ОТХОДЫ, ПОДПАДАЮЩИЕ ПОД ДЕЙСТВИЕ СООТВЕТСТВУЮЩИХ ПРАВИЛ, Н.У.К.";"623";"групповая";"8";"нет";"READY";""
"3291";"ОТХОДЫ БОЛЬНИЧНОГО ПРОИСХОЖДЕНИЯ, РАЗНЫЕ, Н.У.К., или (БИО)МЕДИЦИНСКИЕ ОТХОДЫ, Н.У.К., или МЕДИЦИНСКИЕ ОТХОДЫ, ПОДПАДАЮЩИЕ ПОД ДЕЙСТВИЕ СООТВЕТСТВУЮЩИХ ПРАВИЛ, Н.У.К., в охлажденном жидком азоте";"623";"групповая";"8";"нет";"READY";""
"3292";"БАТАРЕИ, СОДЕРЖАЩИЕ МЕТАЛЛИЧЕСКИЙ НАТРИЙ ИЛИ НАТРИЕВЫЙ СПЛАВ, или ЭЛЕМЕНТЫ, СОДЕРЖАЩИЕ МЕТАЛЛИЧЕСКИЙ НАТРИЙ ИЛИ НАТРИЕВЫЙ СПЛАВ";"430";"групповая";"2";"нет";"READY";""
"3293";"ГИДРАЗИНА ВОДНЫЙ РАСТВОР с массовой долей гидразина не более 37%";"622";"групповая";"10";"нет";"READY";""
"3294";"ВОДОРОДА ЦИАНИДА СПИРТОВОЙ РАСТВОР, содержащий не более 45% цианида водорода";"602";"групповая";"5";"нет";"READY";""
"3295";"1,2,3 Триметилбензол";"328";"групповая";"19";"нет";"READY";""
"3295";"Бензин для промышленных целей";"328";"групповая";"19";"нет";"READY";""
"3295";"Газоконденсат углеводородный";"328";"групповая";"19";"нет";"READY";""
"3295";"Гептен-2, гептен-3";"328";"групповая";"19";"нет";"READY";""
"3295";"Деканы";"328";"групповая";"19";"нет";"READY";""
"3295";"Дистиллят газового конденсата легкий";"328";"групповая";"19";"нет";"READY";""
"3295";"Дистиллят газового конденсата средний (сернистый)";"328";"групповая";"19";"нет";"READY";""
"3295";"Компонент моторных топлив ароматический";"328";"групповая";"19";"нет";"READY";""
"3295";"Пиперилен";"328";"групповая";"19";"нет";"READY";""
"3295";"Сырье углеводородное";"328";"групповая";"19";"нет";"READY";""
"3295";"УГЛЕВОДОРОДЫ ЖИДКИЕ, Н.У.К.";"328";"групповая";"19";"нет";"READY";""
"3295";"УГЛЕВОДОРОДЫ ЖИДКИЕ, Н.У.К. (давление паров при 50 °C более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"3295";"УГЛЕВОДОРОДЫ ЖИДКИЕ, Н.У.К. (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"3295";"Углеводороды легкие";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция альфа-олефинов C10 - C12";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция альфа-олефинов C8, C8 - C10";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция бутан-пропан-гексановая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция гексан-гептановая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция гексановая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция изоамиленовая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция изопентановая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция керосино-газойлевая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция метилдигидропирановая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция н-гептановая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция параксилольная";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция пентан-изопентановая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция пентанизопренциклопентадиеновая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция пентановая";"328";"групповая";"19";"нет";"READY";""
"3295";"Фракция этилбензольная";"328";"групповая";"19";"нет";"READY";""
"3296";"ГЕПТАФТОРПРОПАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 227)";"201";"групповая";"45";"нет";"READY";""
"3297";"ЭТИЛЕНА ОКСИДА И ХЛОРТЕТРАФТОРЭТАНА СМЕСЬ, содержащая не более 8,8% этилена оксида";"207";"групповая";"10";"нет";"READY";""
"3298";"ЭТИЛЕНА ОКСИДА И ПЕНТАФТОРЭТАНА СМЕСЬ, содержащая не более 7,9% этилена оксида";"207";"групповая";"10";"нет";"READY";""
"3299";"ЭТИЛЕНА ОКСИДА И ТЕТРАФТОРЭТАНА СМЕСЬ, содержащая не более 5,6% этилена оксида";"207";"групповая";"10";"нет";"READY";""
"3300";"ЭТИЛЕНА ОКСИДА И УГЛЕРОДА ДИОКСИДА СМЕСЬ, содержащая более 87% этилена оксида";"207";"групповая";"10";"нет";"READY";""
"3301";"ЖИДКОСТЬ КОРРОЗИОННАЯ САМОНАГРЕВАЮЩАЯСЯ, Н.У.К.";"827";"индивидуальная";"1";"нет";"READY";""
"3302";"2-ДИМЕТИЛАМИНЭТИЛАКРИЛАТ *...СТАБИЛИЗИРОВАННЫЙ";"614";"групповая";"10";"нет";"READY";""
"3303";"ГАЗ СЖАТЫЙ ЯДОВИТЫЙ ОКИСЛЯЮЩИЙ, Н.У.К.";"220";"групповая";"16";"нет";"READY";""
"3304";"ГАЗ СЖАТЫЙ ЯДОВИТЫЙ КОРРОЗИОННЫЙ, Н.У.К.";"220";"групповая";"16";"нет";"READY";""
"3305";"ГАЗ СЖАТЫЙ ЯДОВИТЫЙ ВОСПЛАМЕНЯЮЩИЙСЯ КОРРОЗИОННЫЙ, Н.У.К.";"219";"групповая";"6";"нет";"READY";""
"3306";"ГАЗ СЖАТЫЙ ЯДОВИТЫЙ ОКИСЛЯЮЩИЙ КОРРОЗИОННЫЙ, Н.У.К.";"220";"групповая";"16";"нет";"READY";""
"3307";"ГАЗ СЖИЖЕННЫЙ ЯДОВИТЫЙ ОКИСЛЯЮЩИЙ, Н.У.К. *";"220";"групповая";"16";"нет";"READY";""
"3308";"ГАЗ СЖИЖЕННЫЙ ЯДОВИТЫЙ КОРРОЗИОННЫЙ, Н.У.К. *";"220";"групповая";"16";"нет";"READY";""
"3309";"ГАЗ СЖИЖЕННЫЙ ЯДОВИТЫЙ ВОСПЛАМЕНЯЮЩИЙСЯ КОРРОЗИОННЫЙ, Н.У.К.";"219";"групповая";"6";"нет";"READY";""
"3310";"ГАЗ СЖИЖЕННЫЙ ЯДОВИТЫЙ ОКИСЛЯЮЩИЙ КОРРОЗИОННЫЙ, Н.У.К. *";"220";"групповая";"16";"нет";"READY";""
"3311";"ГАЗ ОХЛАЖДЕННЫЙ ЖИДКИЙ ОКИСЛЯЮЩИЙ, Н.У.К. *";"220";"групповая";"16";"нет";"READY";""
"3312";"Газ охлажденный жидкий воспламеняющийся, н.у.к.";"218";"групповая";"6";"нет";"READY";""
"3313";"ПИГМЕНТЫ ОРГАНИЧЕСКИЕ САМОНАГРЕВАЮЩИЕСЯ";"405";"групповая";"36";"нет";"READY";""
"3314";"СОЕДИНЕНИЕ ПЛАСТИЧНОЕ ФОРМОВОЧНОЕ в виде тестообразной массы, в форме листа или полученное путем экструзии жгута, выделяющее легковоспламеняющиеся пары";"902";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties | В официальной АК отсутствует раздел: fireExplosionHazard | В официальной АК отсутствует раздел: humanHazard"
"3315";"ОБРАЗЕЦ ХИМИЧЕСКИЙ ЯДОВИТЫЙ";"616";"групповая";"38";"нет";"READY";""
"3316";"КОМПЛЕКТ ХИМИЧЕСКИХ ВЕЩЕСТВ или КОМПЛЕКТ ПЕРВОЙ ПОМОЩИ";"906";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties"
"3317";"2-АМИНО-4,6-ДИНИТРОФЕНОЛ УВЛАЖНЕННЫЙ с массовой долей воды не менее 20%";"404";"групповая";"52";"нет";"READY";""
"3318";"АММИАКА РАСТВОР в воде с относительной плотностью менее 0,880 при температуре 15 °C, с массовой долей аммиака более 50% аммиака";"208";"групповая";"9";"нет";"READY";""
"3319";"НИТРОГЛИЦЕРИНА СМЕСЬ ДЕСЕНСИБИЛИЗИРОВАННАЯ ТВЕРДАЯ, Н.У.К., с массовой долей нитроглицерина более 2%, но не более 10%";"404";"групповая";"52";"нет";"READY";""
"3320";"НАТРИЯ БОРГИДРИДА И НАТРИЯ ГИДРОКСИДА РАСТВОР с массовой долей боргидрида натрия не более 12% и массовой долей гидроксида натрия не более 40%";"809";"групповая";"11";"нет";"READY";""
"3336";"МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К., или МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К.";"332";"групповая";"2";"нет";"READY";""
"3336";"МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К., или МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К. (давление паров при 50 °C более 110 кПа)";"332";"групповая";"2";"нет";"READY";""
"3336";"МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ, Н.У.К., или МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К. (давление паров при 50 °C не более 110 кПа)";"332";"групповая";"2";"нет";"READY";""
"3336";"Одорант СПМ";"332";"групповая";"2";"нет";"READY";""
"3337";"ГАЗ РЕФРИЖЕРАТОРНЫЙ R 404A (Пентафторэтана, 1,1,1-трифторэтана и 1,1,1,2-тетрафторэтана зеотропная смесь с приблизительно 44% пентафторэтана и 52% 1,1,1-трифторэтана)";"201";"групповая";"45";"нет";"READY";""
