"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"1022";"ХЛОРТРИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 13)";"201";"групповая";"45";"нет";"READY";""
"1023";"Газ каменноугольный сжатый";"207";"групповая";"10";"нет";"READY";""
"1026";"циан";"208";"групповая";"9";"нет";"READY";""
"1027";"Циклопропан";"206";"групповая";"25";"нет";"READY";""
"1028";"ДИХЛОРДИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 12)";"201";"групповая";"45";"нет";"READY";""
"1029";"ДИХЛОРФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 21)";"201";"групповая";"45";"нет";"READY";""
"1030";"1,1-ДИФТОРЭТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 152a) *";"205";"групповая";"14";"нет";"READY";""
"1032";"Диметиламин безводный";"208";"групповая";"9";"нет";"READY";""
"1033";"Эфир диметиловый";"206";"групповая";"25";"нет";"READY";""
"1035";"Этан";"206";"групповая";"25";"нет";"READY";""
"1036";"Этиламин";"208";"групповая";"9";"нет";"READY";""
"1037";"Этилхлорид";"205";"групповая";"14";"нет";"READY";""
"1038";"Этилен охлажденный жидкий";"204";"групповая";"13";"нет";"READY";""
"1039";"Эфир этилметиловый";"206";"групповая";"25";"нет";"READY";""
"1040";"ЭТИЛЕНА ОКСИД";"207";"групповая";"10";"нет";"READY";""
"1040";"ЭТИЛЕНА ОКСИД С АЗОТОМ при общем давлении до 1 МПа (10 бар) при температуре 50 °C";"207";"групповая";"10";"нет";"READY";""
"1041";"ЭТИЛЕНА ОКСИДА И УГЛЕРОДА ДИОКСИДА СМЕСЬ, содержащая более 9%, но не более 87% этилена оксида";"206";"групповая";"25";"нет";"READY";""
"1043";"УДОБРЕНИЯ АММИАЧНОГО РАСТВОР, содержащий свободный аммиак";"208";"групповая";"9";"нет";"READY";""
"1044";"Огнетушители углекислотные";"213";"групповая";"3";"нет";"READY";""
"1044";"ОГНЕТУШИТЕЛИ, содержащие сжатый или сжиженный газ";"213";"групповая";"3";"нет";"READY";""
"1045";"Фтор сжатый";"211";"групповая";"6";"нет";"READY";""
"1046";"Гелий сжатый";"201";"групповая";"45";"нет";"READY";""
"1048";"ВОДОРОДА БРОМИД БЕЗВОДНЫЙ";"203";"групповая";"22";"нет";"READY";""
"1049";"Водород сжатый";"204";"групповая";"13";"нет";"READY";""
"1050";"ВОДОРОДА ХЛОРИД БЕЗВОДНЫЙ";"203";"групповая";"22";"нет";"READY";""
"1051";"ВОДОРОД ЦИАНИД СТАБИЛИЗИРОВАННЫЙ, содержащий менее 3% воды";"602";"групповая";"5";"нет";"READY";""
"1052";"ВОДОРОДА ФТОРИД БЕЗВОДНЫЙ";"837";"индивидуальная";"1";"нет";"READY";""
"1053";"Сероводород";"209";"групповая";"16";"нет";"READY";""
"1055";"Изобутилен";"206";"групповая";"25";"нет";"READY";""
"1056";"Криптон сжатый";"201";"групповая";"45";"нет";"READY";""
"1057";"ЗАЖИГАЛКИ или БАЛЛОНЧИКИ ДЛЯ ЗАПРАВКИ ЗАЖИГАЛОК, содержащие воспламеняющийся газ";"214";"групповая";"2";"нет";"READY";""
"1058";"ГАЗЫ СЖИЖЕННЫЕ, невоспламеняющиеся, содержащие азот, углерода диоксид или воздух";"201";"групповая";"45";"нет";"READY";""
"1060";"МЕТИЛАЦЕТИЛЕНА И ПРОПАДИЕНА СМЕСЬ СТАБИЛИЗИРОВАННАЯ, такая как смесь P1 или смесь P2";"206";"групповая";"25";"нет";"READY";""
"1061";"Метиламин безводный";"208";"групповая";"9";"нет";"READY";""
"1062";"МЕТИЛБРОМИД, содержащий не более 2% хлорпикрина";"209";"групповая";"16";"нет";"READY";""
"1063";"МЕТИЛХЛОРИД (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 40)";"209";"групповая";"16";"нет";"READY";""
"1064";"Метилмеркаптан";"209";"групповая";"16";"нет";"READY";""
"1065";"Неон сжатый";"201";"групповая";"45";"нет";"READY";""
"1066";"Азот сжатый";"201";"групповая";"45";"нет";"READY";""
"1067";"ДИАЗОТА ТЕТРАОКСИД (АЗОТА ДИОКСИД)";"211";"групповая";"6";"нет";"READY";""
"1069";"Нитрозилхлорид";"203";"групповая";"22";"нет";"READY";""
"1070";"Азота гемиоксид";"202";"групповая";"6";"нет";"READY";""
"1071";"Газ нефтяной сжатый";"207";"групповая";"10";"нет";"READY";""
"1072";"Кислород сжатый";"202";"групповая";"6";"нет";"READY";""
"1073";"Кислород охлажденный жидкий";"202";"групповая";"6";"нет";"READY";""
"1075";"ГАЗЫ НЕФТЯНЫЕ СЖИЖЕННЫЕ";"206";"групповая";"25";"нет";"READY";""
"1076";"Фосген";"203";"групповая";"22";"нет";"READY";""
"1077";"Пропилен";"206";"групповая";"25";"нет";"READY";""
